Date,DIA_PSN_Pred,SPY_PSN_Pred,QQQ_PSN_Pred,Risk_free
2014-04-10,0.00604023347864362,0.016089566222198655,0.0010557606536484019,2.628
2014-04-11,0.02254253769750568,0.02149242039388176,0.0017965990580622387,2.6189999999999998
2014-04-14,0.023444914556121896,0.02423595564563181,0.010002444594481588,2.639
2014-04-15,0.015260444218119831,0.02442411688718121,0.005300104296409938,2.628
2014-04-16,0.004755902922157856,0.015406781348627878,0.003341860950032846,2.637
2014-04-17,0.021071633416022445,0.02208543376862913,0.013585494477624105,2.721
2014-04-21,0.02378569877896703,0.010878349842150985,-0.00027923529648169604,2.721
2014-04-22,0.006971427638723743,0.008091520853407263,0.004746374219083868,2.7260000000000004
2014-04-23,0.008955274562051706,0.010672462695551298,0.003725537022850917,2.6860000000000004
2014-04-24,0.011258973565831209,0.012764788924269223,0.002032865571940101,2.688
